"7391.erp Properties"
"General"
"Item","Value"
"Folder","C:\Users\Administrador\Desktop\GonoGo 15-21"
"Type","ERP/W Data"
"File collection date","8/16/2016 16:29:47.73"
"Erp file version","4"
"Subject number","4"
"Collection start time","16:29:47.73"
"Collection end time","16:38:13.29"
"Data acquisition board","Natl. Instr. PCI-6071E (Dev. 1)"
"Data acquisition type","Trial-by-trial"
"Number of trials","500"
"Experiment type","Legacy"

"Channels"
"Channel","Type","Gain","Min. mV","Max. mV","Rate (Hz)","Act. Rate","Electrode","Label"
"1","Scalp","1.00","-100.00","100.00","200.00","200.3606","Fz","Fz"
"2","Scalp","1.00","-100.00","100.00","200.00","200.3606","Pz","Pz"
"3","Scalp","1.00","-100.00","100.00","200.00","200.3606","T3","T3"
"4","Scalp","1.00","-100.00","100.00","200.00","200.3606","T4","T4"
"5","Eye (V)","1.00","-500.00","500.00","200.00","200.3606","","vEOG"
"6","Scalp","1.00","-100.00","100.00","200.00","200.3606","T5","T5"
"7","Scalp","1.00","-100.00","100.00","200.00","200.3606","T6","T6"
"8","Scalp","1.00","-100.00","100.00","200.00","200.3606","C3","C3"
"9","Scalp","1.00","-100.00","100.00","200.00","200.3606","C4","C4"
"10","Scalp","1.00","-100.00","100.00","200.00","200.3606","M1","M1"
"11","Scalp","1.00","-100.00","100.00","200.00","200.3606","M2","M2"
"12","Scalp","1.00","-100.00","100.00","200.00","200.3606","F3","F3"
"13","Scalp","1.00","-100.00","100.00","200.00","200.3606","F4","F4"
"14","Scalp","1.00","-100.00","100.00","200.00","200.3606","F7","F7"
"15","Scalp","1.00","-100.00","100.00","200.00","200.3606","F8","F8"
"16","Scalp","1.00","-100.00","100.00","200.00","200.3606","O1","O1"
"17","Scalp","1.00","-100.00","100.00","200.00","200.3606","O2","O2"
"18","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC1","FC1"
"19","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC2","FC2"
"20","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC5","FC5"
"21","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC6","FC6"
"22","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP1","CP1"
"23","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP2","CP2"
"24","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP5","CP5"
"25","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP6","CP6"
"26","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO3","PO3"
"27","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO4","PO4"
"28","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO7","PO7"
"29","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO8","PO8"
"30","Scalp","1.00","-100.00","100.00","200.00","200.3606","P3","P3"
"31","Scalp","1.00","-100.00","100.00","200.00","200.3606","P4","P4"

"Trials"
"Trial","ID","Pre Set.","Pre Act.","Trial Set.","Trial Act.","Post Set.","Post Act."
"95","3","100","100","801","801","100","100"
"96","3","100","100","801","801","100","100"
"97","2","100","100","801","801","100","100"
"98","2","100","100","801","801","100","100"
"99","2","100","100","801","801","100","100"
"100","3","100","100","801","801","100","100"
"101","2","100","100","801","801","100","100"
"102","3","100","100","801","801","100","100"
"103","3","100","100","801","801","100","100"
"104","2","100","100","801","801","200","200"
"105","2","100","100","801","801","100","100"
"106","2","100","100","801","801","100","100"
"107","2","100","100","801","801","100","100"
"108","2","100","100","801","801","100","100"
"109","3","100","100","801","801","100","100"
"110","2","100","100","801","801","100","100"
"111","3","100","100","801","801","100","100"
"112","3","100","100","801","801","100","100"
"113","3","100","100","801","801","100","100"
"114","3","100","100","801","801","200","200"
"115","3","100","100","801","801","100","100"
"116","2","100","100","801","801","100","100"
"117","3","100","100","801","801","100","100"
"118","3","100","100","801","801","100","100"
"119","3","100","100","801","801","100","100"
"120","2","100","100","801","801","100","100"
"121","2","100","100","801","801","100","100"
"122","3","100","100","801","801","100","100"
"123","2","100","100","801","801","100","100"
"124","3","100","100","801","801","200","200"
"125","2","100","100","801","801","100","100"
"126","2","100","100","801","801","100","100"
"127","2","100","100","801","801","100","100"
"128","2","100","100","801","801","100","100"
"129","2","100","100","801","801","100","100"
"130","3","100","100","801","801","100","100"
"131","2","100","100","801","801","100","100"
"132","2","100","100","801","801","100","100"
"133","3","100","100","801","801","100","100"
"134","2","100","100","801","801","100","100"
"135","3","100","100","801","801","200","200"
"136","3","100","100","801","801","100","100"
"137","3","100","100","801","801","100","100"
"138","2","100","100","801","801","100","100"
"139","3","100","100","801","801","100","100"
"140","3","100","100","801","801","100","100"
"141","3","100","100","801","801","100","100"
"142","2","100","100","801","801","100","100"
"143","2","100","100","801","801","100","100"
"144","3","100","100","801","801","100","100"
"145","2","100","100","801","801","100","100"
"146","3","100","100","801","801","100","100"
"147","2","100","100","801","801","100","100"
"148","3","100","100","801","801","100","100"
"149","2","100","100","801","801","100","100"
"150","3","100","100","801","801","100","100"
"151","2","100","100","801","801","100","100"
"152","2","100","100","801","801","100","100"
"153","3","100","100","801","801","100","100"
"154","3","100","100","801","801","100","100"
"155","3","100","100","801","801","200","200"
"156","3","100","100","801","801","100","100"
"157","2","100","100","801","801","100","100"
"158","2","100","100","801","801","200","200"
"159","3","100","100","801","801","100","100"
"160","2","100","100","801","801","100","100"
"161","3","100","100","801","801","100","100"
"162","3","100","100","801","801","100","100"
"163","3","100","100","801","801","200","200"
"164","3","100","100","801","801","100","100"
"165","2","100","100","801","801","100","100"
"166","3","100","100","801","801","100","100"
"167","3","100","100","801","801","100","100"
"168","3","100","100","801","801","100","100"
"169","2","100","100","801","801","200","200"
"170","3","100","100","801","801","100","100"
"171","3","100","100","801","801","100","100"
"172","2","100","100","801","801","100","100"
"173","2","100","100","801","801","100","100"
"174","3","100","100","801","801","200","200"
"175","2","100","100","801","801","100","100"
"176","2","100","100","801","801","100","100"
"177","3","100","100","801","801","100","100"
"178","2","100","100","801","801","200","200"
"179","3","100","100","801","801","100","100"
